"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",552,2266529043,4106030,75.21482220356626
"hipMemcpyAsync",1108,637643535,575490,21.160216438611272
"hipLaunchKernel",2290,33694045,14713,1.1181377145026774
"hipGraphLaunch",128,29290454,228831,0.9720044385381988
"hipHostMalloc",4,15307181,3826795,0.5079691790884356
"hipModuleLoadData",3,13953056,4651018,0.46303250755935865
"hipGraphInstantiate",1,5868752,5868752,0.19475467989263434
"hipStreamCreateWithFlags",2,3029550,1514775,0.10053569148410606
"hipHostFree",4,1811873,452968,0.06012705020098091
"hipModuleUnload",3,1711634,570544,0.05680061651324665
"hipMalloc",11,1019956,92723,0.033847265020667386
"hipExtModuleLaunchKernel",564,951779,1687,0.0315848095938509
"hipStreamDestroy",2,604539,302269,0.020061641628000854
"hipFree",11,405489,36862,0.013456162467758803
"hipGraphExecUpdate",1,299729,299729,0.009946514258830396
"hipGetDevice",4221,278590,66,0.009245016022365403
"hipGraphExecDestroy",1,216439,216439,0.007182533554200601
"__hipPopCallConfiguration",2290,176539,77,0.005858451069932036
"__hipPushCallConfiguration",2290,161270,70,0.005351748928270464
"hipGetDevicePropertiesR0600",576,155650,270,0.00516524908963414
"hipGraphDestroy",1,137700,137700,0.0045695778968366275
"hipGetLastError",1876,96110,51,0.0031894127208784914
"hipMemsetAsync",2,22530,11265,0.0007476586057787161
"hipMemGetInfo",5,18180,3636,0.000603303748471241
"hipModuleGetFunction",11,9890,899,0.0003281998939703286
"hipStreamEndCapture",1,6490,6490,0.00021537081009781925
"hipStreamQuery",1,4500,4500,0.00014933261100773292
"hipStreamBeginCapture",1,1570,1570,5.2100488729364595e-05
"hipDeviceGetAttribute",1,550,550,1.82517635676118e-05
"hipGetDeviceCount",3,410,136,1.3605860114037889e-05
"hipStreamIsCapturing",1,240,240,7.964405920412423e-06
"hipSetDevice",1,160,160,5.309603946941615e-06
