"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",552,2113469397,3828748,81.44466431636583
"hipMemcpyAsync",1108,342043292,308703,13.180981535927438
"hipLaunchKernel",2490,55264003,22194,2.1296538192143193
"hipGraphLaunch",128,38028230,297095,1.465456008632971
"hipHostMalloc",4,15022962,3755740,0.5789249178929653
"hipModuleLoadData",3,14654254,4884751,0.5647163850732404
"hipGraphInstantiate",1,6225910,6225910,0.23992169024716906
"hipStreamCreateWithFlags",2,2998190,1499095,0.11553826066906842
"hipHostFree",4,1954064,488516,0.07530181736182247
"hipModuleUnload",3,1693085,564361,0.0652447296752006
"hipMalloc",13,869599,66892,0.033510870204877356
"hipStreamDestroy",2,590668,295334,0.022761984181415222
"hipGraphExecUpdate",1,409639,409639,0.015785849983562257
"hipFree",13,260450,20034,0.010036702140711186
"hipGraphExecDestroy",1,257389,257389,0.009918743433655257
"hipExtModuleLaunchKernel",128,248988,1945,0.009595002467311948
"hipGetDevice",3688,243020,65,0.009365019597756315
"__hipPopCallConfiguration",2490,191826,77,0.0073922074288503125
"__hipPushCallConfiguration",2490,177989,71,0.006858984746872887
"hipGraphDestroy",1,171819,171819,0.006621217604587657
"hipGetLastError",1873,94919,50,0.003657798926834959
"hipGetDevicePropertiesR0600",140,51210,365,0.0019734287449637926
"hipMemsetAsync",2,19600,9800,0.0007553056707926253
"hipMemGetInfo",5,15370,3074,0.0005922983755144209
"hipStreamEndCapture",1,7430,7430,0.00028632250683618396
"hipStreamQuery",1,5460,5460,0.00021040657972080275
"hipModuleGetFunction",5,4130,826,0.00015915369491701747
"hipStreamBeginCapture",1,1460,1460,5.6262565273328204e-05
"hipDeviceGetAttribute",1,590,590,2.2736242131002494e-05
"hipGetDeviceCount",3,510,170,1.9653361842053004e-05
"hipStreamIsCapturing",1,270,270,1.0404720975204531e-05
"hipSetDevice",1,160,160,6.165760577898981e-06
